Año,Mes,Índice
2009,Enero,"88,55"
2009,Febrero,"88,82"
2009,Marzo,"88,89"
2009,Abril,"88,94"
2009,Mayo,"89,08"
2009,Junio,"89,12"
2009,Julio,"89,18"
2009,Agosto,"89,12"
2009,Septiembre,"89,07"
2009,Octubre,"89,02"
2009,Noviembre,"89,01"
2009,Diciembre,"89,00"
2010,Enero,"88,87"
2010,Febrero,"88,80"
2010,Marzo,"88,67"
2010,Abril,"88,59"
2010,Mayo,"88,57"
2010,Junio,"88,42"
2010,Julio,"88,40"
2010,Agosto,"88,20"
2010,Septiembre,"88,10"
2010,Octubre,"87,93"
2010,Noviembre,"87,95"
2010,Diciembre,"87,95"
2011,Enero,"88,02"
2011,Febrero,"88,19"
2011,Marzo,"88,18"
2011,Abril,"88,16"
2011,Mayo,"88,28"
2011,Junio,"88,30"
2011,Julio,"88,33"
2011,Agosto,"88,34"
2011,Septiembre,"88,35"
2011,Octubre,"88,37"
2011,Noviembre,"88,40"
2011,Diciembre,"88,41"
2012,Enero,"88,37"
2012,Febrero,"88,51"
2012,Marzo,"88,50"
2012,Abril,"88,58"
2012,Mayo,"88,69"
2012,Junio,"88,77"
2012,Julio,"88,80"
2012,Agosto,"88,77"
2012,Septiembre,"88,81"
2012,Octubre,"88,89"
2012,Noviembre,"88,96"
2012,Diciembre,"88,97"
2013,Enero,"88,94"
2013,Febrero,"89,03"
2013,Marzo,"89,05"
2013,Abril,"88,98"
2013,Mayo,"89,11"
2013,Junio,"89,18"
2013,Julio,"89,25"
2013,Agosto,"89,21"
2013,Septiembre,"89,22"
2013,Octubre,"89,29"
2013,Noviembre,"89,46"
2013,Diciembre,"89,59"
2014,Enero,"89,61"
2014,Febrero,"89,82"
2014,Marzo,"89,94"
2014,Abril,"90,08"
2014,Mayo,"90,24"
2014,Junio,"90,30"
2014,Julio,"90,38"
2014,Agosto,"90,42"
2014,Septiembre,"90,46"
2014,Octubre,"90,56"
2014,Noviembre,"90,62"
2014,Diciembre,"90,73"
2015,Enero,"90,73"
2015,Febrero,"91,08"
2015,Marzo,"91,25"
2015,Abril,"91,50"
2015,Mayo,"91,69"
2015,Junio,"91,91"
2015,Julio,"92,07"
2015,Agosto,"92,20"
2015,Septiembre,"92,50"
2015,Octubre,"92,92"
2015,Noviembre,"93,34"
2015,Diciembre,"93,55"
2016,Enero,"93,96"
2016,Febrero,"94,67"
2016,Marzo,"95,03"
2016,Abril,"95,45"
2016,Mayo,"95,76"
2016,Junio,"96,07"
2016,Julio,"96,27"
2016,Agosto,"96,50"
2016,Septiembre,"96,71"
2016,Octubre,"96,95"
2016,Noviembre,"97,09"
2016,Diciembre,"97,18"
2017,Enero,"97,36"
2017,Febrero,"98,15"
2017,Marzo,"98,49"
2017,Abril,"98,85"
2017,Mayo,"98,94"
2017,Junio,"99,11"
2017,Julio,"99,18"
2017,Agosto,"99,14"
2017,Septiembre,"99,31"
2017,Octubre,"99,24"
2017,Noviembre,"99,34"
2017,Diciembre,"99,35"
2018,Enero,"99,39"
2018,Febrero,"99,71"
2018,Marzo,"99,70"
2018,Abril,"99,70"
2018,Mayo,"99,71"
2018,Junio,"99,79"
2018,Julio,"99,76"
2018,Agosto,"99,84"
2018,Septiembre,"99,85"
2018,Octubre,"99,87"
2018,Noviembre,"99,97"
2018,Diciembre,"100,00"
2019,Enero,"99,90"
2019,Febrero,"100,11"
2019,Marzo,"100,15"
2019,Abril,"100,26"
2019,Mayo,"100,52"
2019,Junio,"100,64"
2019,Julio,"100,51"
2019,Agosto,"100,71"
2019,Septiembre,"100,84"
2019,Octubre,"100,91"
2019,Noviembre,"101,03"
2019,Diciembre,"101,08"
2020,Enero,"101,28"
2020,Febrero,"101,60"
2020,Marzo,"101,71"
2020,Abril,"101,44"
2020,Mayo,"101,24"
2020,Junio,"99,64"
2020,Julio,"99,62"
2020,Agosto,"98,94"
2020,Septiembre,"99,20"
2020,Octubre,"99,23"
2020,Noviembre,"96,41"
2020,Diciembre,"98,60"
2021,Enero,"98,37"
2021,Febrero,"99,92"
2021,Marzo,"100,30"
2021,Abril,"100,10"
2021,Mayo,"100,25"
2021,Junio,"100,36"
2021,Julio,"100,57"
2021,Agosto,"100,69"
2021,Septiembre,"100,87"
2021,Octubre,"98,29"
2021,Noviembre,"97,82"
2021,Diciembre,"97,53"
2022,Enero,"100,64"
2022,Febrero,"101,90"
2022,Marzo,"100,71"
2022,Abril,"103,14"
2022,Mayo,"103,75"
2022,Junio,"101,85"
2022,Julio,"104,74"
2022,Agosto,"105,30"
2022,Septiembre,"106,53"
2022,Octubre,"106,83"
2022,Noviembre,"107,20"
2022,Diciembre,"107,96"
2023,Enero,"108,42"
2023,Febrero,"109,60"
2023,Marzo,"110,40"
2023,Abril,"111,00"
2023,Mayo,"111,66"
2023,Junio,"112,01"
2023,Julio,"112,42"
2023,Agosto,"112,75"
2023,Septiembre,"112,93"
2023,Octubre,"113,06"
2023,Noviembre,"113,26"
2023,Diciembre,"113,51"
2024,Enero,"113,79"
2024,Febrero,"114,59"
2024,Marzo,"114,78"
2024,Abril,"114,83"
2024,Mayo,"114,94"
2024,Junio,"114,93"
2024,Julio,"114,79"
2024,Agosto,"114,89"
