Periodo,Indicador IPC,Indicador ISE
20200131,"103,08","2,37"
20200229,"104,04","5,18"
20200331,"104,02","-1,69"
20200430,"103,32","-10,91"
20200531,"100,96","-10,12"
20200630,"98,60","-7,25"
20200731,"98,51","-6,05"
20200831,"98,58","-6,01"
20200930,"99,64","-4,97"
20201031,"99,10","-2,48"
20201130,"99,03","-2,14"
20201231,"100,80","-1,47"
20210131,"101,12","-2,36"
20210228,"101,61","-4,33"
20210331,"103,54","2,45"
20210430,"105,02","12,45"
20210531,"105,58","7,60"
20210630,"105,62","8,37"
20210731,"106,26","9,23"
20210831,"106,78","7,88"
20210930,"107,64","8,72"
20211031,"108,17","8,30"
20211130,"109,27","7,04"
20211231,"111,08","6,13"
20220131,"113,00","6,76"
20220228,"114,81","5,30"
20220331,"115,29","6,20"
20220430,"116,95","6,88"
20220531,"118,35","10,58"
20220630,"120,05","5,83"
20220731,"122,79","3,71"
20220831,"125,30","4,39"
20220930,"127,20","1,24"
20221031,"128,76","1,27"
20221130,"129,67","2,14"
20221231,"130,94","2,14"
20230131,"133,06","2,01"
20230228,"135,51","1,75"
20230331,"138,95","0,97"
20230430,"141,40","0,36"
20230531,"144,78","1,13"
20230630,"147,26","2,69"
20230731,"150,18","0,41"
20230831,"153,10","2,92"
20230930,"154,97","4,41"
20231031,"155,66","2,82"
20231130,"162,05","2,46"
20231231,"165,05","3,01"
20240131,"169,11","3,94"
20240229,"170,67","5,97"
20240331,"171,85","4,37"
20240430,"172,33","5,25"
20240531,"173,30","2,20"
20240630,"174,27","0,43"
20240731,"174,20","2,29"
